               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10998,            0.075359,             0.10558,                   0,                   0,                   0,                   0,             0.10466,             0.04813,             0.10298,                   0,                   0,                 0.1
                   1,             0.11068,            0.071343,             0.10549,                   0,                   0,                   0,                   0,             0.10467,            0.048115,             0.10298,            8.02e-05,            8.02e-05,             0.09908
                   2,             0.10985,            0.069656,             0.10606,                   0,                   0,                   0,                   0,             0.10467,            0.048114,             0.10298,           0.0001208,           0.0001208,            0.098121
                   3,             0.11064,            0.074935,             0.10782,                   0,                   0,                   0,                   0,             0.10467,            0.048114,             0.10298,           0.0001218,           0.0001218,            0.097122
                   4,              0.1094,            0.072344,             0.10572,                   0,                   0,                   0,                   0,             0.10467,            0.048114,             0.10298,            8.32e-05,            8.32e-05,            0.096083
