               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10998,            0.075359,             0.10558,                   0,                   0,                   0,                   0,             0.10466,             0.04813,             0.10298,                   0,                   0,                 0.1
                   1,             0.11068,            0.071343,             0.10549,                   0,                   0,                   0,                   0,             0.10467,            0.048115,             0.10298,            8.02e-05,            8.02e-05,             0.09908
                   2,             0.10985,            0.069661,             0.10607,                   0,                   0,                   0,                   0,             0.10467,            0.048114,             0.10298,           0.0001208,           0.0001208,            0.098121
                   3,             0.11062,            0.074945,             0.10783,                   0,                   0,                   0,                   0,             0.10467,            0.048114,             0.10298,           0.0001218,           0.0001218,            0.097122
                   4,             0.10926,            0.072534,             0.10567,                   0,                   0,                   0,                   0,             0.10467,            0.048114,             0.10298,            8.32e-05,            8.32e-05,            0.096083
